DBS	1	2	3	4	5	6	7	8	9	10	11
AC-CA	0.002456932	0	0.006265447	0.087167208	0	0.016752325	0	0	0.365705355	0	0.283323915
AC-CG	0.000749683	0	0.002571545	0	0	0	0	0	0	0	0
AC-CT	0.00584882	0.059069574	0.005011323	0	0	0.037534463	0	0	0.062882454	0	0.45252286
AC-GA	0.001308994	0	0.004871387	0	0	0	0	0	0	0.008301644	0
AC-GG	0.000931022	0	0.001417069	0.005801819	0	0	0	0	0	0	0
AC-GT	0.005873518	0	0.001717173	0	0	0	0.045340388	0	0	0.011409454	0
AC-TA	0.001955519	0	0.004683326	0	0	0	0.026030843	0	0	0	0
AC-TG	0.001009053	0	0.003842922	0.002805595	0	0	0.006131502	0	0	0	0
AC-TT	0.027055843	0	0.001579762	0	0	0	0.013694187	0	0	0.110835731	0
AT-CA	0.00142735	0	0.000694301	0	0	0	0.012448154	0	0	0	0
AT-CC	0.001612058	0	0.000519194	0	0	0	0.009997526	0	0	0	0
AT-CG	0.001701408	0	0.000993241	0	0	0	0.007444375	0	0	0.003052643	0
AT-GA	0.001894983	0	0.000934501	0	0	0	0.005979888	0	0	0.009210656	0
AT-GC	0.00128642	0	0.000368176	0	0	0	0.018863376	0	0.012417842	0.008973508	0
AT-TA	0.002462018	0	0.003022446	0	0	0	0.02204158	0	0	0.003038827	0
CC-AA	0.031047881	0	0.472334924	0	0	0	0	0	0	0	0
CC-AG	0.004253912	0	0.061750827	0	0	0	0	0.153455394	0	0	0
CC-AT	0.025448891	0	0.032189764	0	0	0.030844785	0	0	0	0	0
CC-GA	0.002097957	0	0.011984554	0	0	0.006686987	0	0.004947313	0	0	0
CC-GG	0.000707701	0	0.002405149	0.00694771	0	0	0.013434365	0.005439939	0	0	0
CC-GT	0.009499991	0	0.00171721	0	0	0.033113616	0	0	0	0	0
CC-TA	0.014401197	0	0.002709246	0	0	0	0	0	0	0	0
CC-TG	0.003460991	0	0.002138622	0	0	0.021899723	0.026442335	0	0	0	0
CC-TT	0.561994007	0	0	0	0	0	0	0	0	0	0
CG-AT	0.001237919	0	0.001013829	0.030450141	0	0	0	0.000920007	0	0	0
CG-GC	0.000798494	0	0.000246992	0.009590144	0	0	0	0	0.015760943	0	0
CG-GT	0.000969508	0	0.003369321	0.01344012	0	0	0	0	0	0	0
CG-TA	0.01740421	0	0.020069886	0	0.180399692	0	0.145377422	0.540947735	0.223329585	0	0
CG-TC	0.000827354	0	0.004429958	0	0	0	0	0.006401123	0	0	0
CG-TT	0.001175983	0	0.003974483	0	0	0	0	0	0	0	0
CT-AA	0.006732036	0	0.04007224	0	0	0.130310834	0	0.044472026	0	0.010911428	0
CT-AC	0.006750704	0	0.01979298	0	0	0	0.224174788	0	0	0.05166658	0
CT-AG	0.011888373	0	0.012897018	0	0	0.009009715	0.014427849	0	0	0.037053281	0
CT-GA	0.001315387	0	0.003435833	0	0	0	0.006841502	0	0	0.004922322	0
CT-GC	0.000883216	0	0.001088627	0	0	0	0	0	0.05939368	0	0
CT-GG	0.000600483	0	0.002282004	0.031623201	0	0	0.020466896	0	0.003450262	0	0
CT-TA	0.025716057	0.52492211	0.003844881	0	0	0.188074665	0	0.015771975	0	0.009840574	0
CT-TC	0.017023582	0.356029456	0	0	0	0.03819515	0	0	0	0.015496217	0
CT-TG	0.009347551	0	0.003568897	0	0	0.041773779	0	0	0	0.024781768	0
GC-AA	0.00273647	0	0.025552862	0.326737648	0	0	0	0	0	0.204354038	0
GC-AG	0.001615159	0	0.011349933	0.151355864	0	0.007988485	0	0	0	0.014700874	0
GC-AT	0.004927061	0	0.012831577	0.117284111	0	0.001386686	0	0.120260259	0.082055922	0.004696966	0.076221116
GC-CA	0.0007731	0	0.006600554	0	0	0	0	0	0	0.00123186	0.140204379
GC-CG	0.000742817	0	0.001132255	0.00225867	0.819600308	0	0	0	0	0.005402644	0
GC-TA	0.001264748	0	0.002374927	0	0	0	0	0	0	0.012015784	0
TA-AT	0.001869985	0	0.008035783	0	0	0	0	0	0.066137225	0.021215606	0
TA-CG	0.001069654	0.002972473	0.000571954	0	0	0	0	0	0	0.011477297	0
TA-CT	0.001995677	0	0.005425177	0	0	0.022238185	0	0	0	0.005359972	0
TA-GC	0.00090739	0	0.000157956	0	0	0	0	0	0	0	0
TA-GG	0.001168901	0	0.002093808	0	0	0	0.010478235	0	0	0.015423248	0
TA-GT	0.001514246	0	0.002255114	0	0	0	0.015985659	0	0	0.021254851	0
TC-AA	0.006217146	0	0.032911424	0.214537769	0	0.020936041	0	0	0	0.050461654	0
TC-AG	0.001886719	0	0.00502607	0	0	0	0	0.027001228	0	0.001728234	0
TC-AT	0.027803136	0	0	0	0	0.048103151	0	0	0	0.031505819	0
TC-CA	0.008876516	0	0.011176444	0	0	0.019804156	0	0	0	0.025475249	0
TC-CG	0.000675438	0	0.001441823	0	0	0	0.000187256	0	0	0	0
TC-CT	0.005867636	0	0.001685058	0	0	0.03567813	0	0	0	0	0
TC-GA	0.010317316	0	0.008228503	0	0	0.007954231	0	0	0	0.030176922	0
TC-GG	0.000854834	0	0.000839831	0	0	0	0	0	0	0	0
TC-GT	0.01549356	0	0	0	0	0.018788406	0	0	0	0	0
TG-AA	0.002457288	0	0.005070297	0	0	0.007630248	0	0	0	0.001350911	0
TG-AC	0.001336401	0.047477952	0.001855376	0	0	0	0	0	0	0.006543453	0
TG-AT	0.00671197	0	0.020355077	0	0	0.112953714	0	0	0	0	0
TG-CA	0.002395801	0.009528436	0.00634058	0	0	0.018084787	0.03765112	0.043290269	0.008945421	0.006882295	0.047727731
TG-CC	0.001227424	0	0.002834835	0	0	0	0	0.014866576	0	0	0
TG-CT	0.004165601	0	0.025208666	0	0	0.037527982	0	0	0	0	0
TG-GA	0.001236143	0	0.002612081	0	0	0	0	0	0	0.007367531	0
TG-GC	0.000559705	0	0.002485841	0	0	0	0.004300275	0	0	0	0
TG-GT	0.002655571	0	0.009846191	0	0	0.000439384	0.046852455	0	0	0	0
TT-AA	0.008811719	0	0.006431998	0	0	0.023566049	0	0	0.05474568	0	0
TT-AC	0.00291881	0	0.001215782	0	0	0.000940472	0.01068102	0	0	0.007921196	0
TT-AG	0.004427432	0	0.002665023	0	0	0	0.019932665	0	0	0	0
TT-CA	0.003057782	0	0.004505303	0	0	0.011310046	0.03510856	0.022226157	0.045175631	0	0
TT-CC	0.004130695	0	0.001363977	0	0	0	0.002353989	0	0	0.078762206	0
TT-CG	0.00388957	0	0.002501924	0	0	0	0.029263006	0	0	0.028061778	0
TT-GA	0.003316527	0	0.002594723	0	0	0.001741241	0.041279169	0	0	0	0
TT-GC	0.007260494	0	0.003655307	0	0	0	0.018484561	0	0	0.043001229	0
TT-GG	0.027706554	0	0.01295691	0	0	0.048732564	0.108305051	0	0	0.054133748	0
